wing,recommended_url,page_name,page_family,topic_slug,page_value,launch_phase,score,current_dotfun_page,semrush_rows,semrush_aggregate_volume,semrush_best_position,semrush_keyword_examples,competitor_evidence_count,evidence_types,evidence_urls,decision_rationale,cannibalization_rule,schema_recommendation,internal_linking_notes
Iris Platform,/iris/solutions/automotive/,Automotive,vertical-solution,automotive,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/industries-we-serve/automotive,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/best-ai-receptionist-real-estate/,Best Ai Receptionist Real Estate,vertical-solution,best-ai-receptionist-real-estate,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/best-ai-receptionist-real-estate,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/best-crm-for/,Best Crm For,vertical-solution,best-crm-for,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/best-crm-for,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/buildium-ai-integration/,Buildium Ai Integration,vertical-solution,buildium-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/buildium-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/centralreach-ai-integration/,Centralreach Ai Integration,vertical-solution,centralreach-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/centralreach-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/entrata-ai-integration/,Entrata Ai Integration,vertical-solution,entrata-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/entrata-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/evidence-hub-results-roi/,Evidence Hub Results Roi,vertical-solution,evidence-hub-results-roi,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/evidence-hub-results-roi,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/home-services-ai-receptionist-playbook/,Home Services Ai Receptionist Playbook,vertical-solution,home-services-ai-receptionist-playbook,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/home-services-ai-receptionist-playbook,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/jane-app-ai-integration/,Jane App Ai Integration,vertical-solution,jane-app-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/jane-app-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/klaviyo-ai-integration/,Klaviyo Ai Integration,vertical-solution,klaviyo-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/klaviyo-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/legal/,Legal,vertical-solution,legal,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/industries-we-serve/legal,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/multifamily/,Multifamily,vertical-solution,multifamily,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/real-estate-ai-virtual-receptionist-listings-tours/,Real Estate Ai Virtual Receptionist Listings Tours,vertical-solution,real-estate-ai-virtual-receptionist-listings-tours,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/real-estate-ai-virtual-receptionist-listings-tours,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/real-estate-crm-integrations/,Real Estate Crm Integrations,vertical-solution,real-estate-crm-integrations,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/real-estate-crm-integrations,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/real-estate-playbook-ai-receptionist/,Real Estate Playbook Ai Receptionist,vertical-solution,real-estate-playbook-ai-receptionist,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/real-estate-playbook-ai-receptionist,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/real-estate-pricing-roi/,Real Estate Pricing Roi,vertical-solution,real-estate-pricing-roi,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/real-estate-pricing-roi,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/realpage-ai-integration/,Realpage Ai Integration,vertical-solution,realpage-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/realpage-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/release-notes-real-estate-dec-2025/,Release Notes Real Estate Dec 2025,vertical-solution,release-notes-real-estate-dec-2025,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://llms.myaifrontdesk.com/release-notes-real-estate-dec-2025,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/retail/,Retail,vertical-solution,retail,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/shopify-ai-integration/,Shopify Ai Integration,vertical-solution,shopify-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/shopify-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/simplepractice-ai-integration/,Simplepractice Ai Integration,vertical-solution,simplepractice-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/simplepractice-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/therapy/,Therapy,vertical-solution,therapy,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/therapynotes-ai-integration/,Therapynotes Ai Integration,vertical-solution,therapynotes-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/therapy/therapynotes-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/woocommerce-ai-integration/,Woocommerce Ai Integration,vertical-solution,woocommerce-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/retail/woocommerce-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/yardi-ai-integration/,Yardi Ai Integration,vertical-solution,yardi-ai-integration,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/yardi-ai-integration,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/solutions/yardi-ai-leasing-agent/,Yardi Ai Leasing Agent,vertical-solution,yardi-ai-leasing-agent,section-on-parent,phase-two,38,no,0,0,,,1,vertical-solution,https://www.myaifrontdesk.com/multifamily/yardi-ai-leasing-agent,"competitor vertical evidence but dotfun proof/fit needed ; Vertical prioritization should be based primarily on My AI Front Desk ranking/traffic evidence; Iris leans SMB, while broader dotfun proof skews more mid-market.",Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.,Service + FAQPage,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/activecampaign-alternative/,Activecampaign Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/activecampaign-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/ai-receptionist-alternatives-2025/,Ai Receptionist Alternatives 2025,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://llms.myaifrontdesk.com/ai-receptionist-alternatives-2025,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/ai-receptionist-inbound-calls-smbs/,Ai Receptionist Inbound Calls Smbs,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://llms.myaifrontdesk.com/ai-receptionist-inbound-calls-smbs,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/attio-alternative/,Attio Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/attio-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/close-crm-alternative/,Close Crm Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/close-crm-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/copper-crm-alternative/,Copper Crm Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/copper-crm-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/crm-reimagined-for-the-ai-age/,Crm Reimagined For The Ai Age,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/crm-reimagined-for-the-ai-age,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/elise-ai-alternative/,Elise Ai Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/multifamily/elise-ai-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/freshsales-alternative/,Freshsales Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/freshsales-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/funnel-leasing-alternative/,Funnel Leasing Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/multifamily/funnel-leasing-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/gohighlevel-alternative/,Gohighlevel Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/gohighlevel-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/hubspot-alternative/,Hubspot Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/hubspot-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/keap-alternative/,Keap Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/keap-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/knock-crm-alternative/,Knock Crm Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/multifamily/knock-crm-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/leasehawk-alternative/,Leasehawk Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/multifamily/leasehawk-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/monday-crm-alternative/,Monday Crm Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/monday-crm-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/pipedrive-alternative/,Pipedrive Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/pipedrive-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/real-estate-ai-receptionist-buyer-guide-2025/,Real Estate Ai Receptionist Buyer Guide 2025,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://llms.myaifrontdesk.com/real-estate-ai-receptionist-buyer-guide-2025,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/salesforce-alternative/,Salesforce Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/salesforce-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/smith-ai-alternative-ai-only/,Smith Ai Alternative Ai Only,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://llms.myaifrontdesk.com/smith-ai-alternative-ai-only,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/compare/zoho-crm-alternative/,Zoho Crm Alternative,comparison,comparison,phase-two,phase-two,35,no,0,0,,,1,comparison,https://www.myaifrontdesk.com/zoho-crm-alternative,comparison can capture demand but needs claims/proof discipline,Avoid unsupported competitor claims; use alternatives/comparison only when evidence/proof is ready.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/api-developer-integration-guide/,Api Developer Integration Guide,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/api-developer-integration-guide,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/fitness-studio-class-booking-integrations/,Fitness Studio Class Booking Integrations,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/fitness-studio-class-booking-integrations,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/fitness-studio-integrations/,Fitness Studio Integrations,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/fitness-studio-integrations,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/google-calendar-integration/,Google Calendar Integration,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/google-calendar-integration,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/google-calendar-zapier-one-step-booking/,Google Calendar Zapier One Step Booking,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/google-calendar-zapier-one-step-booking,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
Iris Platform,/iris/integrations/home-services-integrations/,Home Services Integrations,integration,integrations,phase-two,phase-two,55,no,21,1420,1,"stripe hubspot integration (vol 210, pos 54) | linear integration (vol 170, pos 3) | envoy slack integration (vol 140, pos 48) | salesforce google ads integration (vol 110, pos 76)",1,integration,https://llms.myaifrontdesk.com/home-services-integrations,"integration page only if product support is real ; SEMrush relevant evidence: 21 rows, aggregate volume 1420",Do not publish unless integration is supported or roadmap language is approved.,Article/FAQPage as applicable,Link from /iris/ and relevant feature/solution hubs; cross-link feature <-> vertical when feature solves vertical job.
